"steps"	"date"	"interval"	"newsteps"	"new_weekday"	"new_type"
"1"	NA	2012-10-01	0	1.71698113207547	"Monday"	"weekdays"
"2"	NA	2012-10-01	5	0.339622641509434	"Monday"	"weekdays"
"3"	NA	2012-10-01	10	0.132075471698113	"Monday"	"weekdays"
"4"	NA	2012-10-01	15	0.150943396226415	"Monday"	"weekdays"
"5"	NA	2012-10-01	20	0.0754716981132075	"Monday"	"weekdays"
"6"	NA	2012-10-01	25	2.09433962264151	"Monday"	"weekdays"
"7"	NA	2012-10-01	30	0.528301886792453	"Monday"	"weekdays"
"8"	NA	2012-10-01	35	0.867924528301887	"Monday"	"weekdays"
"9"	NA	2012-10-01	40	0	"Monday"	"weekdays"
"10"	NA	2012-10-01	45	1.47169811320755	"Monday"	"weekdays"
"11"	NA	2012-10-01	50	0.30188679245283	"Monday"	"weekdays"
"12"	NA	2012-10-01	55	0.132075471698113	"Monday"	"weekdays"
"13"	NA	2012-10-01	100	0.320754716981132	"Monday"	"weekdays"
"14"	NA	2012-10-01	105	0.679245283018868	"Monday"	"weekdays"
"15"	NA	2012-10-01	110	0.150943396226415	"Monday"	"weekdays"
"16"	NA	2012-10-01	115	0.339622641509434	"Monday"	"weekdays"
"17"	NA	2012-10-01	120	0	"Monday"	"weekdays"
"18"	NA	2012-10-01	125	1.11320754716981	"Monday"	"weekdays"
"19"	NA	2012-10-01	130	1.83018867924528	"Monday"	"weekdays"
"20"	NA	2012-10-01	135	0.169811320754717	"Monday"	"weekdays"
"21"	NA	2012-10-01	140	0.169811320754717	"Monday"	"weekdays"
"22"	NA	2012-10-01	145	0.377358490566038	"Monday"	"weekdays"
"23"	NA	2012-10-01	150	0.264150943396226	"Monday"	"weekdays"
"24"	NA	2012-10-01	155	0	"Monday"	"weekdays"
"25"	NA	2012-10-01	200	0	"Monday"	"weekdays"
"26"	NA	2012-10-01	205	0	"Monday"	"weekdays"
"27"	NA	2012-10-01	210	1.13207547169811	"Monday"	"weekdays"
"28"	NA	2012-10-01	215	0	"Monday"	"weekdays"
"29"	NA	2012-10-01	220	0	"Monday"	"weekdays"
"30"	NA	2012-10-01	225	0.132075471698113	"Monday"	"weekdays"
"31"	NA	2012-10-01	230	0	"Monday"	"weekdays"
"32"	NA	2012-10-01	235	0.226415094339623	"Monday"	"weekdays"
"33"	NA	2012-10-01	240	0	"Monday"	"weekdays"
"34"	NA	2012-10-01	245	0	"Monday"	"weekdays"
"35"	NA	2012-10-01	250	1.54716981132075	"Monday"	"weekdays"
"36"	NA	2012-10-01	255	0.943396226415094	"Monday"	"weekdays"
"37"	NA	2012-10-01	300	0	"Monday"	"weekdays"
"38"	NA	2012-10-01	305	0	"Monday"	"weekdays"
"39"	NA	2012-10-01	310	0	"Monday"	"weekdays"
"40"	NA	2012-10-01	315	0	"Monday"	"weekdays"
"41"	NA	2012-10-01	320	0.207547169811321	"Monday"	"weekdays"
"42"	NA	2012-10-01	325	0.622641509433962	"Monday"	"weekdays"
"43"	NA	2012-10-01	330	1.62264150943396	"Monday"	"weekdays"
"44"	NA	2012-10-01	335	0.584905660377358	"Monday"	"weekdays"
"45"	NA	2012-10-01	340	0.490566037735849	"Monday"	"weekdays"
"46"	NA	2012-10-01	345	0.0754716981132075	"Monday"	"weekdays"
"47"	NA	2012-10-01	350	0	"Monday"	"weekdays"
"48"	NA	2012-10-01	355	0	"Monday"	"weekdays"
"49"	NA	2012-10-01	400	1.18867924528302	"Monday"	"weekdays"
"50"	NA	2012-10-01	405	0.943396226415094	"Monday"	"weekdays"
"51"	NA	2012-10-01	410	2.56603773584906	"Monday"	"weekdays"
"52"	NA	2012-10-01	415	0	"Monday"	"weekdays"
"53"	NA	2012-10-01	420	0.339622641509434	"Monday"	"weekdays"
"54"	NA	2012-10-01	425	0.358490566037736	"Monday"	"weekdays"
"55"	NA	2012-10-01	430	4.11320754716981	"Monday"	"weekdays"
"56"	NA	2012-10-01	435	0.660377358490566	"Monday"	"weekdays"
"57"	NA	2012-10-01	440	3.49056603773585	"Monday"	"weekdays"
"58"	NA	2012-10-01	445	0.830188679245283	"Monday"	"weekdays"
"59"	NA	2012-10-01	450	3.11320754716981	"Monday"	"weekdays"
"60"	NA	2012-10-01	455	1.11320754716981	"Monday"	"weekdays"
"61"	NA	2012-10-01	500	0	"Monday"	"weekdays"
"62"	NA	2012-10-01	505	1.56603773584906	"Monday"	"weekdays"
"63"	NA	2012-10-01	510	3	"Monday"	"weekdays"
"64"	NA	2012-10-01	515	2.24528301886792	"Monday"	"weekdays"
"65"	NA	2012-10-01	520	3.32075471698113	"Monday"	"weekdays"
"66"	NA	2012-10-01	525	2.9622641509434	"Monday"	"weekdays"
"67"	NA	2012-10-01	530	2.09433962264151	"Monday"	"weekdays"
"68"	NA	2012-10-01	535	6.05660377358491	"Monday"	"weekdays"
"69"	NA	2012-10-01	540	16.0188679245283	"Monday"	"weekdays"
"70"	NA	2012-10-01	545	18.3396226415094	"Monday"	"weekdays"
